Storm Number,Storm Name,Data Source,Storm Year,Max Wind Speed (kt),Max Radius (km),x,y,Hours from First Observation,,,
1,,IBTRACS,1883,45.0,41.9,89.3,20.0,0,,,
1,,IBTRACS,1883,45.0,41.9,89.2,20.2,6,,,
1,,IBTRACS,1883,45.0,41.9,89.0,20.4,12,,,
1,,IBTRACS,1883,45.0,41.9,88.9,20.5,18,,,
1,,IBTRACS,1883,45.0,41.9,88.8,20.6,24,,,
1,,IBTRACS,1883,45.0,41.9,88.8,20.6,30,,,
1,,IBTRACS,1883,45.0,41.9,88.8,20.6,36,,,
1,,IBTRACS,1883,45.0,41.9,88.8,20.6,42,,,
1,,IBTRACS,1883,45.0,41.9,88.8,20.6,48,,,
1,,IBTRACS,1883,45.0,41.9,88.7,20.7,54,,,
1,,IBTRACS,1883,45.0,41.9,88.6,20.9,60,,,
1,,IBTRACS,1883,45.0,41.9,88.4,21.2,66,,,
1,,IBTRACS,1883,45.0,41.9,88.1,21.4,72,,,
1,,IBTRACS,1883,45.0,41.9,87.3,21.6,78,,,
1,,IBTRACS,1883,45.0,41.9,86.3,21.8,84,,,
1,,IBTRACS,1883,45.0,41.9,85.1,21.9,90,,,
1,,IBTRACS,1883,45.0,41.9,84.2,22.0,96,,,
1,,IBTRACS,1883,45.0,41.9,83.9,22.0,102,,,
1,,IBTRACS,1883,45.0,41.9,84.0,22.0,108,,,
1,,IBTRACS,1883,45.0,41.9,84.1,22.0,114,,,
1,,IBTRACS,1883,45.0,41.9,84.1,22.0,120,,,
1,,IBTRACS,1883,45.0,41.9,83.3,22.1,126,,,
1,,IBTRACS,1883,45.0,41.9,81.8,22.4,132,,,
1,,IBTRACS,1883,45.0,41.9,79.8,22.5,138,,,
1,,IBTRACS,1883,45.0,41.9,77.6,22.7,144,,,
1,,IBTRACS,1883,45.0,41.9,75.6,22.8,150,,,
1,,IBTRACS,1883,45.0,41.9,73.9,22.9,156,,,
1,,IBTRACS,1883,45.0,41.9,72.2,23.0,162,,,
1,,IBTRACS,1883,45.0,41.9,70.6,23.2,168,,,
1,,IBTRACS,1883,45.0,41.9,69.5,23.3,174,,,
1,,IBTRACS,1883,45.0,41.9,68.5,23.4,180,,,
1,,IBTRACS,1883,45.0,41.9,67.6,23.5,186,,,
1,,IBTRACS,1883,45.0,41.9,66.7,23.6,192,,,
2,,IBTRACS,1884,45.0,41.9,88.6,20.6,0,,,
2,,IBTRACS,1884,45.0,41.9,88.4,20.6,6,,,
2,,IBTRACS,1884,45.0,41.9,88.1,20.6,12,,,
2,,IBTRACS,1884,45.0,41.9,87.7,20.6,18,,,
2,,IBTRACS,1884,45.0,41.9,87.4,20.7,24,,,
2,,IBTRACS,1884,45.0,41.9,86.7,20.8,30,,,
2,,IBTRACS,1884,45.0,41.9,85.8,21.0,36,,,
2,,IBTRACS,1884,45.0,41.9,84.8,21.1,42,,,
2,,IBTRACS,1884,45.0,41.9,83.9,21.3,48,,,
2,,IBTRACS,1884,45.0,41.9,83.1,21.4,54,,,
2,,IBTRACS,1884,45.0,41.9,82.4,21.6,60,,,
2,,IBTRACS,1884,45.0,41.9,81.6,21.7,66,,,
2,,IBTRACS,1884,45.0,41.9,80.7,21.9,72,,,
2,,IBTRACS,1884,45.0,41.9,79.6,22.2,78,,,
2,,IBTRACS,1884,45.0,41.9,78.5,22.5,84,,,
2,,IBTRACS,1884,45.0,41.9,77.3,22.8,90,,,
2,,IBTRACS,1884,45.0,41.9,76.0,23.2,96,,,
2,,IBTRACS,1884,45.0,41.9,74.7,23.6,102,,,
2,,IBTRACS,1884,45.0,41.9,73.4,24.0,108,,,
2,,IBTRACS,1884,45.0,41.9,72.1,24.4,114,,,
2,,IBTRACS,1884,45.0,41.9,70.8,24.9,120,,,
3,,IBTRACS,1885,45.0,41.9,92.8,14.6,0,,,
3,,IBTRACS,1885,45.0,41.9,92.6,14.8,6,,,
3,,IBTRACS,1885,45.0,41.9,92.4,15.1,12,,,
3,,IBTRACS,1885,45.0,41.9,92.1,15.3,18,,,
3,,IBTRACS,1885,45.0,41.9,91.8,15.5,24,,,
3,,IBTRACS,1885,45.0,41.9,91.3,16.0,30,,,
3,,IBTRACS,1885,45.0,41.9,90.8,16.5,36,,,
3,,IBTRACS,1885,45.0,41.9,90.3,16.9,42,,,
3,,IBTRACS,1885,45.0,41.9,89.7,17.3,48,,,
3,,IBTRACS,1885,45.0,41.9,88.8,17.9,54,,,
3,,IBTRACS,1885,45.0,41.9,87.8,18.7,60,,,
3,,IBTRACS,1885,45.0,41.9,86.9,19.5,66,,,
3,,IBTRACS,1885,45.0,41.9,86.1,20.3,72,,,
3,,IBTRACS,1885,45.0,41.9,85.4,21.0,78,,,
3,,IBTRACS,1885,45.0,41.9,84.8,21.7,84,,,
3,,IBTRACS,1885,45.0,41.9,84.2,22.5,90,,,
3,,IBTRACS,1885,45.0,41.9,83.7,23.3,96,,,
3,,IBTRACS,1885,45.0,41.9,83.5,23.5,102,,,
3,,IBTRACS,1885,45.0,41.9,83.4,23.7,108,,,
3,,IBTRACS,1885,45.0,41.9,83.3,23.8,114,,,
3,,IBTRACS,1885,45.0,41.9,83.2,24.0,120,,,
4,,IBTRACS,1886,45.0,41.9,88.8,19.6,0,,,
4,,IBTRACS,1886,45.0,41.9,88.8,19.6,6,,,
4,,IBTRACS,1886,45.0,41.9,88.8,19.6,12,,,
4,,IBTRACS,1886,45.0,41.9,88.8,19.6,18,,,
4,,IBTRACS,1886,45.0,41.9,88.9,19.5,24,,,
4,,IBTRACS,1886,45.0,41.9,88.5,20.3,30,,,
4,,IBTRACS,1886,45.0,41.9,87.7,21.7,36,,,
4,,IBTRACS,1886,45.0,41.9,86.7,22.6,42,,,
4,,IBTRACS,1886,45.0,41.9,85.5,23.2,48,,,
4,,IBTRACS,1886,45.0,41.9,84.8,23.5,54,,,
4,,IBTRACS,1886,45.0,41.9,84.4,23.7,60,,,
4,,IBTRACS,1886,45.0,41.9,83.9,23.9,66,,,
4,,IBTRACS,1886,45.0,41.9,83.3,24.1,72,,,
4,,IBTRACS,1886,45.0,41.9,82.4,24.3,78,,,
4,,IBTRACS,1886,45.0,41.9,81.5,24.5,84,,,
4,,IBTRACS,1886,45.0,41.9,80.7,24.7,90,,,
4,,IBTRACS,1886,45.0,41.9,80.0,25.0,96,,,
4,,IBTRACS,1886,45.0,41.9,78.4,25.6,102,,,
4,,IBTRACS,1886,45.0,41.9,76.7,26.5,108,,,
4,,IBTRACS,1886,45.0,41.9,75.4,27.6,114,,,
4,,IBTRACS,1886,45.0,41.9,74.5,28.9,120,,,
4,,IBTRACS,1886,45.0,41.9,74.0,29.7,126,,,
4,,IBTRACS,1886,45.0,41.9,73.8,30.3,132,,,
4,,IBTRACS,1886,45.0,41.9,73.7,30.9,138,,,
4,,IBTRACS,1886,45.0,41.9,73.5,31.4,144,,,
4,,IBTRACS,1886,45.0,41.9,73.4,32.1,150,,,
4,,IBTRACS,1886,45.0,41.9,73.2,32.8,156,,,
4,,IBTRACS,1886,45.0,41.9,73.1,33.4,162,,,
4,,IBTRACS,1886,45.0,41.9,73.1,34.1,168,,,
5,,IBTRACS,1886,45.0,41.9,82.3,15.9,0,,,
5,,IBTRACS,1886,45.0,41.9,82.3,15.9,6,,,
5,,IBTRACS,1886,45.0,41.9,82.3,15.9,12,,,
5,,IBTRACS,1886,45.0,41.9,82.3,15.9,18,,,
5,,IBTRACS,1886,45.0,41.9,82.3,15.9,24,,,
5,,IBTRACS,1886,45.0,41.9,82.3,15.9,30,,,
5,,IBTRACS,1886,45.0,41.9,82.3,15.9,36,,,
5,,IBTRACS,1886,45.0,41.9,82.3,15.9,42,,,
5,,IBTRACS,1886,45.0,41.9,82.3,15.9,48,,,
5,,IBTRACS,1886,45.0,41.9,82.8,16.2,54,,,
5,,IBTRACS,1886,45.0,41.9,83.6,16.8,60,,,
5,,IBTRACS,1886,45.0,41.9,84.3,17.3,66,,,
5,,IBTRACS,1886,45.0,41.9,85.0,17.8,72,,,
5,,IBTRACS,1886,45.0,41.9,85.2,17.9,78,,,
5,,IBTRACS,1886,45.0,41.9,85.1,17.9,84,,,
5,,IBTRACS,1886,45.0,41.9,85.1,17.9,90,,,
5,,IBTRACS,1886,45.0,41.9,85.1,17.9,96,,,
5,,IBTRACS,1886,45.0,41.9,85.2,18.1,102,,,
5,,IBTRACS,1886,45.0,41.9,85.5,18.4,108,,,
5,,IBTRACS,1886,45.0,41.9,85.8,18.8,114,,,
5,,IBTRACS,1886,45.0,41.9,86.1,19.0,120,,,
5,,IBTRACS,1886,45.0,41.9,86.1,19.3,126,,,
5,,IBTRACS,1886,45.0,41.9,86.1,19.5,132,,,
5,,IBTRACS,1886,45.0,41.9,86.1,19.6,138,,,
5,,IBTRACS,1886,45.0,41.9,86.1,19.8,144,,,
5,,IBTRACS,1886,45.0,41.9,85.8,20.2,150,,,
5,,IBTRACS,1886,45.0,41.9,85.1,20.5,156,,,
5,,IBTRACS,1886,45.0,41.9,84.4,20.8,162,,,
5,,IBTRACS,1886,45.0,41.9,83.7,21.1,168,,,
